id,duration,avg_price,avg_discount_percent,total_discount_percent,avg_discount_value,total_discount_value,probability
100001,1753.0,121.30666666666667,0.0,0,0.0,0.0,0.35428571428571426
100002,187.0,2317.02,0.0,0,0.0,0.0,0.44312169312169314
100003,0.0,58.97,15.0,15,884.55,884.55,0.1076923076923077
100004,0.0,99.99,15.0,15,1499.85,1499.85,0.12087912087912088
100005,614.0,85.97200000000001,0.0,0,0.0,0.0,0.526440410418311
100006,0.0,99.99,5.0,5,499.95,499.95,0.08270676691729323
100007,0.0,129.0,20.0,20,2580.0,2580.0,0.1276595744680851
100008,552.0,89.99000000000001,10.0,30,899.9,2699.7,0.5068027210884354
100009,1479.0,120.345,15.0,120,1805.1750000000002,14441.400000000001,0.3684210526315789
100010,0.0,61.18,0.0,0,0.0,0.0,0.09733333333333333
100011,495.0,727.9775,0.0,0,0.0,0.0,0.47685525349008084
100012,213.0,165.0,0.0,0,0.0,0.0,0.47685525349008084
100013,1484.0,119.10857142857142,15.0,105,1786.6285714285716,12506.400000000001,0.3684210526315789
100014,1968.0,40.0075,15.0,120,600.1125,4800.9,0.30303030303030304
100015,340.0,137.0,5.0,15,685.0,2055.0,0.46226415094339623
100016,194.0,151.0,10.0,20,1510.0,3020.0,0.48909657320872274
100017,10.0,207.33,5.0,10,1036.65,2073.3,0.7368421052631579
100018,578.0,136.695,0.0,0,0.0,0.0,0.47685525349008084
100019,0.0,207.33,5.0,5,1036.65,1036.65,0.015384615384615385
100020,429.0,405.735,0.0,0,0.0,0.0,0.47685525349008084
100021,0.0,553.0,15.0,15,8295.0,8295.0,0.1276595744680851
100022,0.0,3777.0,5.0,5,18885.0,18885.0,0.14285714285714285
100023,105.0,71.85,10.0,20,718.5,1437.0,0.5068027210884354
100024,61.0,71.85,0.0,0,0.0,0.0,0.7157894736842105
100025,400.0,21.445,15.0,60,321.67499999999995,1286.6999999999998,0.5068027210884354
100026,478.0,30.967499999999998,0.0,0,0.0,0.0,0.526440410418311
100027,5.0,99.99,0.0,0,0.0,0.0,0.09733333333333333
100028,508.0,4949.95,0.0,0,0.0,0.0,0.44312169312169314
100029,1324.0,92.5175,20.0,80,1850.35,7401.4,0.3333333333333333
100030,172.0,99.99,0.0,0,0.0,0.0,0.526440410418311
100031,0.0,2199.9,0.0,0,0.0,0.0,0.06343283582089553
100032,802.0,82.49499999999999,5.0,20,412.475,1649.9,0.36363636363636365
100033,913.0,48.654,0.0,0,0.0,0.0,0.526440410418311
100034,0.0,129.99,15.0,15,1949.8500000000001,1949.8500000000001,0.1276595744680851
100035,589.0,3268.7949999999996,0.0,0,0.0,0.0,0.44312169312169314
100036,873.0,48.14166666666667,0.0,0,0.0,0.0,0.526440410418311
100037,142.0,207.33,0.0,0,0.0,0.0,0.47685525349008084
100038,714.0,104.85285714285715,0.0,0,0.0,0.0,0.47685525349008084
100039,0.0,193.0,0.0,0,0.0,0.0,0.08421052631578947
100040,999.0,4355.505714285714,10.0,70,43555.05714285715,304885.4,0.43137254901960786
100041,0.0,58.97,0.0,0,0.0,0.0,0.09733333333333333
100042,232.0,4733.975,20.0,80,94679.5,378718.0,0.43137254901960786
100044,1236.0,713.0014285714286,15.0,105,10695.021428571428,74865.15,0.0
100045,87.0,165.0,15.0,45,2475.0,7425.0,0.43478260869565216
100046,279.0,3651.885,0.0,0,0.0,0.0,0.44312169312169314
100047,322.0,511.445,0.0,0,0.0,0.0,0.47685525349008084
100048,0.0,553.0,0.0,0,0.0,0.0,0.08421052631578947
100049,6.0,2066.995,0.0,0,0.0,0.0,0.06343283582089553
100050,162.0,86.28,0.0,0,0.0,0.0,0.526440410418311
100051,484.0,106.32666666666667,0.0,0,0.0,0.0,0.47685525349008084
100052,0.0,58.97,10.0,10,589.7,589.7,0.1076923076923077
100053,441.0,1273.945,20.0,80,25478.9,101915.6,0.43137254901960786
100054,759.0,27.195,0.0,0,0.0,0.0,0.526440410418311
100055,284.0,99.99,20.0,40,1999.8,3999.6,0.5315985130111525
100056,289.0,165.0,10.0,30,1650.0,4950.0,0.48909657320872274
100057,741.0,35.554,10.0,50,355.54,1777.7,0.5068027210884354
100058,529.0,92.19749999999999,0.0,0,0.0,0.0,0.526440410418311
100059,10.0,2317.02,0.0,0,0.0,0.0,0.4930555555555556
100060,174.0,859.0,5.0,10,4295.0,8590.0,0.49056603773584906
100061,113.0,18.945,0.0,0,0.0,0.0,0.526440410418311
100062,624.0,95.792,0.0,0,0.0,0.0,0.526440410418311
100063,0.0,58.97,0.0,0,0.0,0.0,0.09733333333333333
100065,0.0,58.97,0.0,0,0.0,0.0,0.09733333333333333
100066,837.0,113.39428571428572,5.0,35,566.9714285714285,3968.7999999999997,0.46226415094339623
100067,0.0,129.0,0.0,0,0.0,0.0,0.08421052631578947
100068,0.0,2317.02,0.0,0,0.0,0.0,0.06343283582089553
100069,1100.0,89.774,15.0,75,1346.6100000000001,6733.05,0.3333333333333333
100070,0.0,2317.02,5.0,5,11585.1,11585.1,0.14285714285714285
100071,373.0,6080.933333333333,15.0,45,91214.0,273642.0,0.43137254901960786
100072,203.0,1816.97,10.0,20,18169.7,36339.4,0.5172413793103449
100073,400.0,796.6020000000001,0.0,0,0.0,0.0,0.47685525349008084
100074,264.0,74.11666666666666,0.0,0,0.0,0.0,0.526440410418311
100075,0.0,63.49,0.0,0,0.0,0.0,0.09733333333333333
